type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Resurrect Priest,9840,0.602,1100,11.0,Forbidden Words,Penance,Bad Luck Albatross,Breath of the Infinite,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Time Rip,Zilliax,Khartut Defender,"Galakrond, the Unspeakable",Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,662.1999999999999,Priest
Dragon Hunter,5280,0.598,43000,5.6,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Dragonbane,Evasive Feywing,Frenzied Felwing,Big Ol' Whelp,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,25714.0,Hunter
Highlander Hunter,15600,0.593,1800,7.2,Blazing Battlemage,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Sunreaver Spy,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonmaw Poacher,Houndmaster Shaw,Faceless Corruptor,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1067.3999999999999,Hunter
Dragon Hunter,5340,0.591,3000,5.8,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Dragonbane,Evasive Feywing,Frenzied Felwing,Lifedrinker,Big Ol' Whelp,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,1773.0,Hunter
Mech Paladin,6240,0.589,1100,5.5,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,647.9,Paladin
Quest Resurrect Priest,11860,0.589,1400,9.9,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,824.5999999999999,Priest
Secret Highlander Hunter,14700,0.589,10000,7.8,Dwarven Sharpshooter,Secretkeeper,Springpaw,Tracking,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Dragonqueen Alexstrasza,Zul'jin,5890.0,Hunter
Secret Highlander Hunter,16300,0.588,15000,7.8,Dwarven Sharpshooter,Secretkeeper,Springpaw,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Primordial Explorer,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,8820.0,Hunter
Mech Paladin,7040,0.588,2500,6.4,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Wargear,Zilliax,Kangor's Endless Army,,,,,,,,,,,,,,1470.0,Paladin
Resurrect Priest,11400,0.588,12000,11.0,Forbidden Words,Penance,Bad Luck Albatross,Breath of the Infinite,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Time Rip,Zilliax,Khartut Defender,"Galakrond, the Unspeakable",Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,7056.0,Priest
